final_price,list_price,bedrooms,Dens,bathrooms,size,parking,type,latitude,longitude,mean_district_income,district_code,School_min_dist_km
406500,414900,2,0,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
756000,765000,3,2,2,1750,2,Detached,43.7362056,-79.5813168,26548,2,0.179754341
395000,409900,2,0,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
410000,420000,2,0,2,1300,1,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
430000,434999,2,0,2,1300,1,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
399900,399000,3,0,2,1300,1,Condo Apt,43.7438789,-79.5866374,26548,2,0.280781066
494000,500000,3,1,2,1300,1,Condo Townhouse,43.7392056,-79.5910811,26548,2,0.311735346
384000,389000,2,0,2,1100,2,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
410000,415000,2,0,2,1100,1,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
940000,959000,4,0,4,2750,4,Detached,43.75706,-79.599229,26548,2,0.492238135
385500,399000,2,1,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
397000,410999,2,0,2,1100,1,Comm Element Condo,43.7586168,-79.5875152,26548,2,0.79035475
405000,425000,2,1,2,1300,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
278500,257000,2,0,2,950,1,Condo Apt,43.7474965,-79.5833018,26548,2,0.153452115
392000,399900,2,0,2,1100,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
535000,539000,4,1,3,1300,1,Condo Townhouse,43.7388584,-79.5903779,26548,2,0.263176394
380000,379900,2,0,2,950,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
400000,419988,2,1,2,1300,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
435000,449000,2,0,2,1300,2,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
395000,399900,2,0,2,1100,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
380000,379900,2,1,2,1100,1,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
718500,625000,3,1,3,1750,2,Detached,43.7563154,-79.5931876,26548,2,0.386430508
410000,415000,2,0,2,1300,2,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
392000,399000,2,1,2,1100,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
527000,535900,4,1,3,1300,1,Condo Townhouse,43.7388584,-79.5903779,26548,2,0.263176394
404000,428000,2,0,2,1300,1,Condo Apt,43.7505345,-79.5814686,26548,2,0.307653903
369900,369900,2,0,2,950,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
360000,369000,2,0,2,1300,2,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
379000,389900,2,1,2,1100,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
409500,429900,2,0,2,1300,1,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
407500,399000,2,0,2,1300,1,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
265000,265000,2,0,1,1100,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
390000,389000,2,0,2,1300,2,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
382000,388000,2,0,2,1100,1,Comm Element Condo,43.7590096,-79.5885685,26548,2,0.853072762
374000,379900,2,1,2,1100,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
520000,519900,4,1,3,1300,2,Condo Townhouse,43.7402213,-79.5912566,26548,2,0.370009414
279900,279900,3,0,2,1100,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
316000,314900,1,1,1,950,1,Condo Apt,43.7586168,-79.5875152,26548,2,0.79035475
330000,329000,1,1,2,850,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
223500,239900,2,0,1,950,2,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
637000,599000,4,0,3,1750,1,Detached,43.7381241,-79.5866594,26548,2,0.327054269
237500,244888,2,0,1,950,1,Condo Apt,43.7474965,-79.5833018,26548,2,0.153452115
860000,899800,3,0,2,1300,4,Detached,43.7337993,-79.5528236,32815,3,0.715057507
665000,599000,3,0,2,900,2,Detached,43.7387417,-79.5530995,32815,3,0.893910336
583000,578800,3,1,3,1500,1,Condo Townhouse,43.7359153,-79.5607953,32815,3,0.918667205
780000,789000,3,1,2,1750,2,Semi-Detached,43.7367685,-79.5723065,32815,3,0.736002623
1155000,1250000,4,1,5,4250,8,Detached,43.7388411,-79.5675814,32815,3,0.787648643
895000,899000,2,2,3,1300,4,Detached,43.7408122,-79.5547632,32815,3,1.012087932
745000,759000,2,3,3,1300,4,Detached,43.7400886,-79.5697605,32815,3,0.564333652
350000,299900,2,0,2,1100,1,Condo Townhouse,43.7138349,-79.5580815,34418,4,0.63681913
834000,849900,4,0,2,2250,5,Detached,43.7213918,-79.5659558,34418,4,0.235011285
1150000,1089500,5,1,4,4250,5,Detached,43.7340492,-79.5734472,34418,4,0.57619363
351000,299900,3,0,2,1100,1,Condo Townhouse,43.7139901,-79.5589601,34418,4,0.699690145
745888,699000,3,2,2,1300,2,Detached,43.7233162,-79.566951,34418,4,0.444946092
835000,849000,3,1,2,1300,5,Detached,43.7224077,-79.5687508,34418,4,0.385809112
1500000,1568000,8,4,8,2750,4,Plex,43.7180927,-79.5573132,34418,4,0.607469672
830000,849900,4,0,2,1750,4,Detached,43.7191468,-79.5478091,32012,5,0.44951268
548000,599900,2,0,1,1300,2,Detached,43.7149605,-79.544362,32012,5,0.506633433
345000,349900,2,1,1,1100,1,Condo Apt,43.7230155,-79.5436818,32012,5,0.685060918
1300000,1345000,4,2,6,4250,3,Detached,43.7266263,-79.5510143,32012,5,0.233553255
837000,849900,3,1,2,2250,2,Detached,43.7183335,-79.5494337,32012,5,0.313688037
305000,299900,2,0,1,1100,1,Condo Apt,43.7211735,-79.5442443,32012,5,0.644842995
615000,629900,2,0,1,900,4,Detached,43.7130673,-79.5455,32012,5,0.498974616
345000,349000,3,0,2,1300,2,Condo Apt,43.7230155,-79.5436818,32012,5,0.685060918
730000,769000,4,0,4,2250,5,Detached,43.7225054,-79.5549219,32012,5,0.228375595
1069000,1139900,4,2,4,2250,7,Detached,43.7262567,-79.5506192,32012,5,0.243141771
400000,349000,3,0,2,1100,1,Condo Townhouse,43.7301736,-79.5469809,32012,5,0.281736218
330000,299900,2,0,1,850,11,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
551000,548868,4,0,3,1500,1,Condo Townhouse,43.7250552,-79.5588228,32012,5,0.41755931
305000,305000,3,0,2,1100,1,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
320000,345000,3,0,2,1100,1,Condo Apt,43.7211735,-79.5442443,32012,5,0.644842995
301000,299000,2,0,1,850,1,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
725000,699900,3,1,2,1300,5,Detached,43.7158094,-79.5439478,32012,5,0.534781819
297500,299900,2,0,1,950,1,Condo Apt,43.7230155,-79.5436818,32012,5,0.685060918
343000,349900,2,0,1,1100,1,Condo Apt,43.7230155,-79.5436818,32012,5,0.685060918
595000,609900,2,0,1,1300,3,Detached,43.7131551,-79.5503118,32012,5,0.276405943
315000,319900,3,0,2,1100,1,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
660500,664888,3,0,2,1300,5,Semi-Detached,43.7129137,-79.5532206,32012,5,0.369786268
250000,259900,2,1,1,1100,1,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
700000,725000,2,2,2,1300,5,Detached,43.7238048,-79.5529462,32012,5,0.187667156
272000,274000,2,0,1,1100,1,Condo Apt,43.7220286,-79.5437092,32012,5,0.677597768
340000,338800,2,0,1,950,1,Condo Apt,43.7230155,-79.5436818,32012,5,0.685060918
327000,358888,3,0,2,1100,2,Condo Apt,43.7211735,-79.5442443,32012,5,0.644842995
340000,358000,3,0,2,1100,1,Condo Apt,43.6952016,-79.5567,36674,6,0.561285785
332850,325000,2,0,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
240000,238900,2,0,1,950,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
349000,349000,3,0,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
1059000,1099000,3,0,3,2374,1,Condo Apt,43.6982421,-79.5479308,36674,6,0.234253458
931500,879000,3,3,2,1300,3,Detached,43.6919608,-79.5413305,36674,6,0.354967444
450000,459900,3,0,2,1300,1,Condo Apt,43.6953637,-79.5507031,36674,6,0.279140839
354000,369000,3,0,2,1300,1,Condo Apt,43.6957686,-79.5572308,36674,6,0.56935664
320000,315000,2,0,1,1100,1,Condo Apt,43.6957686,-79.5572308,36674,6,0.56935664
317000,319000,2,1,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
930000,949900,4,1,2,1300,2,Detached,43.6898949,-79.5439451,36674,6,0.420325095
329900,329900,2,1,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
325000,329000,3,0,2,1300,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
378000,399900,3,0,2,1300,1,Condo Apt,43.6957686,-79.5572308,36674,6,0.56935664
456000,459900,2,1,1,1100,1,Condo Apt,43.6953637,-79.5507031,36674,6,0.279140839
345000,376500,3,0,2,1100,1,Condo Apt,43.6952016,-79.5567,36674,6,0.561285785
515000,479000,3,0,3,1900,1,Condo Townhouse,43.7002274,-79.5477132,36674,6,0.189260051
326500,325000,2,1,1,1100,1,Condo Apt,43.6957686,-79.5572308,36674,6,0.56935664
200000,190000,1,0,1,750,1,Condo Apt,43.6959817,-79.5530999,36674,6,0.280825172
375000,389900,2,0,1,1100,1,Condo Apt,43.6953637,-79.5507031,36674,6,0.279140839
560000,560000,3,1,3,1900,1,Condo Apt,43.6978721,-79.5451541,36674,6,0.429808832
876000,900000,5,2,3,1750,4,Detached,43.6986484,-79.5536926,36674,6,0.249070969
262000,269990,2,0,1,950,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
210000,199900,1,0,1,850,1,Condo Apt,43.6959817,-79.5530999,36674,6,0.280825172
328000,339900,3,0,2,1300,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
275000,269900,3,0,2,1300,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
1200000,1299000,4,0,3,2750,6,Detached,43.7021657,-79.5424083,36674,6,0.326399794
330000,329900,2,1,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
380000,399000,3,0,2,1300,1,Condo Apt,43.6957686,-79.5572308,36674,6,0.56935664
1080000,1099000,5,1,5,2750,3,Detached,43.6918482,-79.5494991,36674,6,0.120090342
210000,239999,2,0,1,850,1,Condo Apt,43.6959817,-79.5530999,36674,6,0.280825172
213000,199900,2,0,1,950,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
